Name                                                                                                Stmts   Miss  Cover
polaris\cells\roles\engine\internal\react.py                                                          199    174    13%
polaris\cells\roles\engine\internal\registry.py                                                        73     53    27%
polaris\cells\roles\engine\internal\tot.py                                                            258    205    21%
polaris\cells\roles\engine\public\__init__.py                                                           3      0   100%
polaris\cells\roles\engine\public\contracts.py                                                        128     51    60%
polaris\cells\roles\engine\public\service.py                                                            9      0   100%
polaris\cells\roles\kernel\__init__.py                                                                 10      5    50%
polaris\cells\roles\kernel\internal\__init__.py                                                         2      0   100%
polaris\cells\roles\kernel\internal\circuit_breaker.py                                                205    131    36%
polaris\cells\roles\kernel\internal\constitution_adaptor.py                                           151    113    25%
polaris\cells\roles\kernel\internal\constitution_rules.py                                             154     85    45%
polaris\cells\roles\kernel\internal\context_event.py                                                   27      6    78%
polaris\cells\roles\kernel\internal\context_gateway\__init__.py                                         9      0   100%
polaris\cells\roles\kernel\internal\context_gateway\compression_engine.py                             193    168    13%
polaris\cells\roles\kernel\internal\context_gateway\constants.py                                       40     26    35%
polaris\cells\roles\kernel\internal\context_gateway\gateway.py                                        314    261    17%
polaris\cells\roles\kernel\internal\context_gateway\projection_formatter.py                           170    148    13%
polaris\cells\roles\kernel\internal\context_gateway\security.py                                        39     28    28%
polaris\cells\roles\kernel\internal\context_gateway\token_estimator.py                                 35     27    23%
polaris\cells\roles\kernel\internal\context_models.py                                                  85     18    79%
polaris\cells\roles\kernel\internal\development_workflow_runtime.py                                   144    112    22%
polaris\cells\roles\kernel\internal\error_category.py                                                  55     25    55%
polaris\cells\roles\kernel\internal\events.py                                                         228    160    30%
polaris\cells\roles\kernel\internal\exploration_workflow.py                                           282    232    18%
polaris\cells\roles\kernel\internal\interaction_contract.py                                           101     61    40%
polaris\cells\roles\kernel\internal\kernel\__init__.py                                                  9      0   100%
polaris\cells\roles\kernel\internal\kernel\core.py                                                    893    785    12%
polaris\cells\roles\kernel\internal\kernel\error_handler.py                                            89     64    28%
polaris\cells\roles\kernel\internal\kernel\helpers.py                                                 130    116    11%
polaris\cells\roles\kernel\internal\kernel\suggestions.py                                              23     10    57%
polaris\cells\roles\kernel\internal\kernel\tool_executor.py                                            96     74    23%
polaris\cells\roles\kernel\internal\kernel_guard.py                                                   110     60    45%
polaris\cells\roles\kernel\internal\llm_cache.py                                                       87     58    33%
polaris\cells\roles\kernel\internal\llm_caller\__init__.py                                             21      6    71%
polaris\cells\roles\kernel\internal\llm_caller\caller.py                                              289    246    15%
polaris\cells\roles\kernel\internal\llm_caller\decision_caller.py                                      12      6    50%
polaris\cells\roles\kernel\internal\llm_caller\error_handling.py                                       88     66    25%
polaris\cells\roles\kernel\internal\llm_caller\event_emitter.py                                       112     98    12%
polaris\cells\roles\kernel\internal\llm_caller\finalization_caller.py                                  36     26    28%
polaris\cells\roles\kernel\internal\llm_caller\helpers.py                                              96     74    23%
polaris\cells\roles\kernel\internal\llm_caller\invoker.py                                             337    293    13%
polaris\cells\roles\kernel\internal\llm_caller\provider_formatter.py                                   44     25    43%
polaris\cells\roles\kernel\internal\llm_caller\response_types.py                                       69      8    88%
polaris\cells\roles\kernel\internal\llm_caller\stream_engine.py                                       210    197     6%
polaris\cells\roles\kernel\internal\llm_caller\stream_handler.py                                      195    180     8%
polaris\cells\roles\kernel\internal\llm_caller\tool_helpers.py                                        205    191     7%
polaris\cells\roles\kernel\internal\metrics.py                                                        256    142    45%
polaris\cells\roles\kernel\internal\output_parser.py                                                  287    237    17%
polaris\cells\roles\kernel\internal\prompt_builder.py                                                 347    282    19%
polaris\cells\roles\kernel\internal\prompt_templates.py                                                65     37    43%
polaris\cells\roles\kernel\internal\quality_checker.py                                                315    268    15%
polaris\cells\roles\kernel\internal\retry_policy_engine.py                                             41     28    32%
polaris\cells\roles\kernel\internal\speculation\__init__.py                                             0      0   100%
polaris\cells\roles\kernel\internal\speculation\budget.py                                              55     39    29%
polaris\cells\roles\kernel\internal\speculation\cancel.py                                              18     11    39%
polaris\cells\roles\kernel\internal\speculation\candidate_decoder.py                                  134    115    14%
polaris\cells\roles\kernel\internal\speculation\chain_speculator.py                                   147    117    20%
polaris\cells\roles\kernel\internal\speculation\events.py                                              33      2    94%
polaris\cells\roles\kernel\internal\speculation\fingerprints.py                                        33     23    30%
polaris\cells\roles\kernel\internal\speculation\metrics.py                                             43     25    42%
